Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Transcript count	Gene type
ENSG00000116285	1	8004404	8026309	ERRFI1	5	protein_coding
ENSG00000238290	1	8026413	8187014	ERRFI1-DT	25	lncRNA
ENSG00000232848	1	8057245	8058463	RPL7AP18	1	processed_pseudogene
ENSG00000301325	1	8093486	8113404		4	lncRNA
ENSG00000227634	1	8158695	8215242	LINC01714	42	lncRNA
ENSG00000229305	1	8189824	8192770		1	processed_pseudogene
ENSG00000301344	1	8197389	8203165		2	lncRNA
ENSG00000200975	1	8206434	8206597	RNU1-7P	1	snRNA
ENSG00000233645	1	8218190	8220529		1	lncRNA
ENSG00000298156	1	8240001	8249009		1	lncRNA
ENSG00000301025	1	8256341	8260244		1	lncRNA
ENSG00000301006	1	8257357	8295010		8	lncRNA
ENSG00000251977	1	8292157	8292263	RNU6-991P	1	snRNA
ENSG00000162426	1	8318114	8344167	SLC45A1	4	protein_coding
ENSG00000252254	1	8328067	8328179	Y_RNA	1	misc_RNA
ENSG00000142599	1	8352397	8848921	RERE	22	protein_coding
ENSG00000232912	1	8424645	8435013	RERE-AS1	3	lncRNA
ENSG00000221083	1	8511795	8511919		1	snoRNA
ENSG00000270282	1	8512653	8513021		1	processed_pseudogene
ENSG00000234619	1	8750430	8751087	RPL7P11	1	processed_pseudogene
ENSG00000224315	1	8786211	8786913	RPL7P7	1	processed_pseudogene
ENSG00000303676	1	8789577	8790281		1	lncRNA
ENSG00000222511	1	8796571	8796673	Y_RNA	1	misc_RNA
ENSG00000226545	1	8798475	8799506		1	unprocessed_pseudogene
ENSG00000228423	1	8805860	8807051		1	lncRNA
ENSG00000229716	1	8831007	8831375	RPL23AP19	1	processed_pseudogene
ENSG00000074800	1	8861000	8879190	ENO1	16	protein_coding
ENSG00000274258	1	8866502	8866590	MIR6728	1	miRNA
ENSG00000230679	1	8878464	8880122	ENO1-AS1	4	lncRNA
ENSG00000201725	1	8883427	8883533	RNU6-304P	1	snRNA
ENSG00000238249	1	8893409	8894151	HMGN2P17	1	processed_pseudogene
ENSG00000310107	1	8893871	8926885		4	lncRNA
ENSG00000232208	1	8907393	8907744		1	transcribed_processed_pseudogene
ENSG00000232663	1	8909742	8909904		1	processed_pseudogene
ENSG00000310124	1	8923155	8939708		2	lncRNA
ENSG00000131686	1	8945867	8975092	CA6	6	protein_coding
ENSG00000290109	1	8970490	8971246		3	lncRNA
ENSG00000265141	1	8979576	8979874	RN7SL451P	1	misc_RNA
ENSG00000197241	1	9002973	9026423	SLC2A7	1	protein_coding
ENSG00000142583	1	9035106	9088478	SLC2A5	10	protein_coding
ENSG00000252404	1	9082696	9082879		1	scaRNA
ENSG00000180758	1	9100305	9129102	GPR157	3	protein_coding
ENSG00000228526	1	9139555	9202826	MIR34AHG	11	lncRNA
ENSG00000284357	1	9151668	9151777	MIR34A	1	miRNA
ENSG00000289914	1	9162321	9162945		1	lncRNA
ENSG00000302015	1	9163078	9163571		1	lncRNA
ENSG00000234546	1	9181588	9198023	LNCTAM34A	28	lncRNA
ENSG00000301983	1	9197190	9198761		1	lncRNA
ENSG00000301968	1	9200784	9203619		4	lncRNA
ENSG00000049239	1	9234774	9271337	H6PD	3	protein_coding
ENSG00000302217	1	9241960	9242715		2	lncRNA
ENSG00000171621	1	9292894	9369532	SPSB1	4	protein_coding
ENSG00000294252	1	9321174	9334689		1	lncRNA
ENSG00000296073	1	9370608	9373541		3	lncRNA
ENSG00000296056	1	9371972	9375157		2	lncRNA
ENSG00000307568	1	9410613	9417880		2	lncRNA
ENSG00000284652	1	9421098	9422862		1	lncRNA
ENSG00000284693	1	9425094	9455910	LINC02606	28	lncRNA
ENSG00000252956	1	9437669	9437778	RNA5SP40	1	rRNA_pseudogene
ENSG00000301013	1	9438728	9445143		3	lncRNA
ENSG00000301030	1	9448629	9449491		1	lncRNA
ENSG00000306844	1	9466645	9467370		1	lncRNA
ENSG00000296249	1	9490342	9492604		1	lncRNA
ENSG00000235263	1	9500754	9503536		1	lncRNA
ENSG00000171612	1	9539465	9585173	SLC25A33	1	protein_coding
ENSG00000231181	1	9576427	9576985		1	processed_pseudogene
ENSG00000188807	1	9588911	9614877	TMEM201	5	protein_coding
ENSG00000307011	1	9628393	9629425		1	lncRNA
ENSG00000171608	1	9629889	9729114	PIK3CD	23	protein_coding
ENSG00000179840	1	9652610	9654586	PIK3CD-AS1	1	lncRNA
ENSG00000233268	1	9660828	9662626		1	processed_pseudogene
ENSG00000301080	1	9672405	9687565		1	lncRNA
